id,tweet,subtask_a
2707,@USER Θέλω να των δω από εδώ και εμπρός αν δεν κάνει το καλό παιδί αν τον πολεμήσουν στο 1/3 από όσο πολέμησαν την Χ.Α τις αντοχές του όσο δεν είσαι στόχος καλά είναι αν γίνει θέλω να δω τι θα κανει,0
2251,#survivorgr Α Και 60 φορές και με διαφορετικούς... Ε είσαι πολύ τσοκαρο κορίτσι μού,0
9814,"Και μου έλεγε η γυναίκα μου το πρωί πάρε την τυρόπιτα μαζί σου θα πεινάσεις.. Ήθελα κι εγώ να το παίξω τζέντλεμαν και της λέω φάτην εσύ..δεν πειράζει,δεν πεινάω. Τώρα που πεινάω και δεν μπορώ να πάρω κάτι;Που είναι η τυρόπιτα;",0
8949,κατω τα χερια απο τον #κυρανακης,0
6913,"@USER μην μας το παιζεις πονοψυχη,κρυφορατσιστρια του κερατα. μεταξυ σας αυτα να τα λετε,δημοσιως δεν πιανουν. Φασισταρια ,ρατσιστες,πατριδοκαπηλα ανιστορητα υποκοσμικα ανθρωπαρια η δεξια/ναζι",0
8057,"Και είπε η Κειση, έλα Άννα κάτσε στο σπαθί τώρα να μάθεις να φέρεσαι. #gntmgr",0
5244,"@USER Μιλάς με γυναίκα για τη γυναικεία κάβλα. Γενικά δεν το έχεις ξαναπάθει, οπότε σου φαίνεται περίεργο.",0
9447,@USER Ήταν της ΜΚΟ το βαν καλή μου. Τι να πούνε ότι είναι μαλακες;,1
1309,@USER 1ον. Δεν ειναι ιδιοκτήτης του Noor1 ο Μαρινακης. 2ον. Η «ανεξάρτητη» Δικαιοσύνη όπως υπονοείς λειτουργεί και τωρα δηλαδή;,0
9640,Πολάκη τα σπας. Άντε γαμησου όμως,1
520,Κόψιμο την επιασε την υπάλληλο; #shoppingstar,0
3149,#ερχεται_ΠΟΥΤΣΑ Ωχ τέλη Ιουνίου θα χει τελειώσει και η σύνταξη γιατί την έδωσε 1 βδομάδα νωρίτερα.,0
4845,ΔΕΝ ΕΦΥΓΕ ;ΓΙΑΤΙ ΕΙΝΑΙ ΠΑΛΙ ΠΙΣΩ ; #gntmgr,0
349,σε λίγα επεισόδια είδα η #πουτανΕλλη θα κάνει μάθημα ιππασίας στη Μελίτη θα ζήσουμε μεγάλες στιγμές #GynaikaXwrisOnoma,0
7658,@USER τι μουνόπανο είναι αυτό,0
431,Αξιοσημείωτο ότι περιγράφει τη πολιτική που εφαρμόζει ο Αλέξης Τσίπρας για τους πολλους.Ότι ο τόπος χρειάζεται ΚΟΙΝΩΝΙΚΗ ΔΙΚΑΙΟΣΥΝΗ ΦΡΟΝΤΙΔΑ ΓΙΑ ΤΟΥΣ ΜΗ ΕΥΝΟΗΜΕΝΟΥΣ». Αδειάζει με το τρόπο του τον ΚΜ που λοιδωρεί τα πρόσφατα ΜΟΝΙΜΑ μέτρα που έφερε ο Πρωθυπουργός ψήφισε η Βουλή;,0
1777,"@USER Αφού τους είχες ζήσει, όπως και γω, φαντάσου πόσο βλακας είσαι που τόσο καιρό δεν είχες καταλάβει πως να μην σου ξανασυμβεί.",0
4101,@USER Εσύ πρέπει να είσαι σοφός άνθρωπος..,0
1035,Δεν έμαθες ούτε από τον Εφιάλτη ούτε από τον Ιούδα. Γιατί τέτοιου βεληνεκούς ρουφιάνος είσαι. Κρίμα.,0
8688,"Έλα νταξ, κούρασε λίγο ο Μάστορας με τη μίμηση του Παπακων/νου! Ας κάνει και κανέναν άλλο! #xfactorgr",0
8060,Ρε Μπράτη σήμερα έχεις διαύγεια..... #gntmgr,0
3829,Γιατί τις ξανακουβαλησαν αυτές; #shoppingstar,0
6329,Μια χούφτα ακροδεξιοί και ο Ψωμιάδης να ψήνει σουβλάκια.... #μπαρμπεκιου #διαβατα,0
5436,"Ποσο περηφανα να ειναι σημερα τα ναζιδια που ειδαν τον Φυρερισκο τους να τρεμει μπροστα στην Δικαιοσυνη! Μιλησε απαξιωτικα για βουλευτες του, ειπε πως ο χαιρετισμος δεν ειναι ναζιστικος, οτι δεν ειναι φασιστας. Αρνηθηκε δλδ πραγματα για τα οποια ""αγωνιζεται"" μια ολοκληρη ζωη.",0
8875,"@USER βγάλε όσο ομοφοβικό εμετό έχεις τώρα , γιατί σε λίγο στο gay pride πρώτο θα δεις τον #κουλη και την παρέα του ! Ξέρω πονάς αισθάνεσαι προδομένος αλλά από κάτι τέτοιους μαλακές σαν και σένα επιζούν αυτοί !",1
2970,Κάνεις μπάνιο για να είσαι καθαρός. Μπαίνει ηλεκτρικό. Κάνεις μπάνιο με τον ιδρώτα σου. Καλό καλοκαίρι.,0
3820,Ελληνικό κράτος είναι αυτό που είσαι υποψήφιος δημοτικός σύμβουλος στην Μήλο αλλά ψηφίζεις στον Πειραιά. Και το μαθαίνεις σήμερα. Ευχαριστώ,0
4204,τις δυο δεν τις θυμαμαι διολου #shoppingstar,0
285,εμείς οι γυναίκες και στα θυμαράκια να πάμε θα βάλουμε φοντέσιον ‍️ #shoppingstar,0
5431,"Οι Ευρωπαίες που θα τις μπολιάσουν οι Ασιάτες, παραπάνω απο 2 παιδιά μέσο όρο, δε θα κάνουν. Καλύτερα να μας στείλουν γυναίκες, να τις μπολιάσουν οι Ευρωπαίοι, να κάνουν απο 6 ή 8 παιδιά, να λύσουμε και το ασφαλιστικό. Άντρες δέ θέλουμε. Έχουμε.",0
3725,"Πήγαινα με 80 σε πηγμένη Εθνική, φορώντας κράνος (των 800€, όχι του Πράκτικερ), μπουφάν, γάντια, μπότες, παντελόνι με επιγονατίδες και πάλι διέλυσα τον ώμο μου. Δεν είστε μάγκες αν δεν φοράτε προστατευτικά στη μηχανή. Μαλάκες είστε.",1
2898,@USER καποιοι δε σκληραινουν ποτε....απλα κλεινονται...κ δυνατος δε γινεσαι μ το άδικο ...δυνατος εισαι για οσα ξεπερνας..περνας ..νικας χωρις κανεις ν ξερει....για οσα βοηθας και στηριζεις... να στε καλα,0
5920,"Πολύ φυσικές οι αντιδράσεις της Βικης, καμιά υπερβολή και πάλι, πουθενα. #GNTMgr",0
5647,Αυτές δεν ξέρουν καν τι είναι η υπεραλίευση εν το μεταξύ #gntmgr,0
955,@USER πιστεψε με ξερω και πολυ καλα ελληνικα και χρησιμοποιω πολυ καλα την γλωσσα και υποψιαζομαι οτι ειμαι και μεγαλυτερος αν νομιζεις τωρα οτι μου την ειπες με το λεξικο επειδη σου λεω οτι ο ντανος ειναι καλυτερος σε ολα απο δαλακα εισαι πολυ γελασμενη,0
8318,"@USER ""πραγματικά"" η όχι θύματα ιμπεριαλιστικών πολέμων, ούτε διαχωρίζονται τα θύματα των πολέμων, τα παιδιά, οι οικογένειες οι πρόσφυγες γενικά με βάση την θρησκεία η την γλώσσα. Οι εποχές μπορεί να είναι διαφορετικές, η ουσία του ρατσισμού δεν αλλάζει.",0
1807,#poweroflovegr 7 μερες χωρις μαναφουκι... Θα αυτο-δηλητηριαστουμε ρε αν δεν το βγαλουμε απο μεσα μας μετα απο τοση στερηση! Κανονιστε!,0
5672,"#gntmgr Νομιζω πλεον οι ""δοκιμασιες"", περα απο την πλακα, εχουν παρει, καθαρα, χαρακτηρα γελοιοποίησης των παικτριων.",0
2902,"Αυτό που δεν έχετε καταλάβει σύντροφοι και ξεφτίλες συνοδοιπόροι είναι ότι το προϊόν ΣΥΡΙΖΑ είναι πλέον τοξικό. Και ως τέτοιο αντιμετωπίζεται: όσο πιο μακριά, τόσο πιο καλά",0
1283,@USER ρε δεν πας στο διάολο και εσύ και ο κούλης,1
9262,Ο Κυπραίος μόνο στο κοτετσι του #GNTMgr που δεν κρύφτηκε. Νισάφι πια #AgriesMelisses,0
4006,"Τι κύκλους να έχεις εσυ Πάρις μου, ο άντρας σου έχει και για τους δυο. #shoppingstar",0
4928,στο μουνι της Μαριας δεν βγαινει ποτε ο ηλιος #kalomesimeraki,1
3037,"Η Λορέϊν φαίνεται πολύ γλυκιά ύπαρξη, αν δεν έκανε εκείνη την πασαρέλα δε νομίζω να την θυμόμασταν #shoppingstar",0
