id,tweet,subtask_a
1172,"@USER Οι μουσουλμάνες που τις βιάζουν έτσι κ αλλιώς, οπότε τις βολεύει να κυνηγούν εμάς κ να αφήσουν αυτές ήσυχες οι άντρες τους.",1
4078,Η Κάτια προσπαθεί να πείσει οτι δεν είναι ελέφαντας #GynaikaXwrisOnoma,0
135,"Καλά γιατί λες ότι, είσαι νέος αφού γεννήθηκες το 39; Ναι αλλά, στις 29 Φεβρουαρίου κι' έχω γενέθλια κάθε τέσσερα χρόνια οπότε;",0
9056,Με Φατσεα ξεκινησαμε...... #Kokkinopotami,0
5344,"#gntmgr Κάτια πόσο γλυκιά, εμετός",0
4007,Οι γυναίκες χρειάζονται περισσότερο ύπνο γιατί έχουν πιο σύνθετο εγκέφαλο,0
7760,@USER Και οι μαλάκες που δικαιολογησαν τον μπάτσο επίσης,1
6432,@USER Και αντρες και γυναικες αν θελουν να στη κανουν.....,0
4593,@USER Εσύ είσαι η μόνη σωστή εδώ μέσα! Στους άλλους αναφέρομαι που σου κάνουν επίθεση. Στους φασίστες Χρυσαυγιτες,0
3389,@USER Το ότι αυτό έγινε πολύ μα πολύ αργότερα από το Ελληνικό βασίλειο των Μακεδόνων το ξέρεις; Επίσης δεν έχει χαλάσει το έθνος θες δεν θες... άλλο αν εσύ δεν είσαι ελληνίδα.,0
9046,@USER Αυτή είναι αυστηρώς απαγορευμένη στο σπίτι να ξαναπαίξει. Βαλάντωσαν οι κόρες μου και η γυναίκα μου. Εγώ φυσικά ως σκληρό αντράκι κρατήθηκα. Μέχρι που έβγαλα τα σκυλιά βόλτα και ...όταν δεν κοιτούσε κανένας...... ήταν μεγάλη η βόλτα...,0
7287,Όταν δεν έχεις που να βάλεις το drone #gntmgr,0
1565,"@USER Φεύγω μετανάστης σε χώρα με βασιλιά,περιμένω να πεθάνετε όλοι από καρκίνο, γυρνάω ψηφίζω Αλεξαρο. Πάλι νίκη της αριστεράς.",1
401,"Αν είσαι αναποφάσιστος, το παρακάτω video μπορεί να σου δώσει το κίνητρο που χρειάζεσαι για να επιλέξεις. #nd_xeftiles",0
